name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
FREY,ENGM,"['chamber', 'cypher', 'killjoy']",190,0.82,182.0,0.79,122.5,0.63,0.15,0.09
zeek,TH,"['kayo', 'omen', 'skye']",198,0.82,167.6,0.79,108.0,0.6,0.32,0.08
Poach,FaZe,"['sova', 'astra', 'breach']",107,0.82,153.8,0.75,107.2,0.5,0.26,0.04
Khalil,FUR,"['omen', 'viper', 'killjoy']",217,0.82,153.4,0.78,109.6,0.57,0.25,0.06
bezn1,Peit,"['omen', 'kayo', 'cypher']",258,0.82,179.2,0.74,116.0,0.59,0.27,0.07
nobody,EDG,"['fade', 'sova']",107,0.82,165.8,0.76,109.5,0.58,0.19,0.06
Shanks,NRG,"['chamber', 'jett']",174,0.81,176.4,0.83,111.7,0.63,0.17,0.17
dapr,SEN,"['chamber', 'cypher', 'viper']",307,0.8,177.6,0.75,120.5,0.6,0.23,0.07
ANGE1,NAVI,"['breach', 'sova', 'jett']",1507,0.8,168.6,0.75,112.3,0.57,0.24,0.1
AslaN,S2G,"['viper', 'jett', 'chamber']",165,0.8,159.9,0.75,106.9,0.55,0.27,0.06
SEIDER,bonk,"['viper', 'omen', 'sage']",170,0.79,153.4,0.79,103.2,0.55,0.18,0.05
dispenser,TS,"['killjoy', 'kayo']",158,0.79,141.0,0.7,93.4,0.48,0.16,0.03
dinkzj,ANTO,"['cypher', 'viper', 'killjoy']",488,0.78,147.8,0.71,100.0,0.5,0.22,0.03
NakJi,WGS,"['chamber', 'sage', 'raze']",124,0.78,171.6,0.75,109.8,0.6,0.23,0.04
Derialy,NTH,"['killjoy', 'brimstone', 'sage']",150,0.76,167.1,0.73,112.1,0.57,0.19,0.07
YaBoiLewis,FKS,"['raze', 'kayo']",188,0.75,175.9,0.75,117.1,0.61,0.21,0.1
artn,LZ,"['breach', 'omen', 'viper']",190,0.75,154.7,0.69,98.5,0.53,0.34,0.04
Nozz,BOBO,"['sage', 'skye', 'omen']",113,0.75,153.2,0.64,101.6,0.5,0.22,0.08
natzlorant,AE,"['sage', 'chamber', 'skye']",174,0.75,182.4,0.8,113.6,0.63,0.13,0.14
dzii,GMN,"['brimstone', 'jett', 'kayo']",190,0.74,162.3,0.7,104.5,0.57,0.18,0.08
BlackWiz,NTH,"['astra', 'fade', 'omen']",150,0.74,154.7,0.73,101.3,0.56,0.23,0.07
Luke,TR,"['chamber', 'killjoy', 'reyna']",167,0.74,173.3,0.76,117.0,0.61,0.11,0.1
GodDead,ONS,"['sage', 'skye', 'kayo']",171,0.74,154.3,0.62,105.2,0.5,0.34,0.05
pAura,S2G,"['killjoy', 'cypher', 'breach']",195,0.73,176.0,0.7,116.1,0.56,0.16,0.11
roseau,PSJ,"['breach', 'viper', 'sova']",154,0.73,147.3,0.61,102.8,0.47,0.25,0.01
Mazin,FUR,"['raze', 'jett', 'kayo']",217,0.73,161.8,0.7,114.5,0.55,0.28,0.07
